基站ID,省份代码,省,地市代码,地市,严重卡顿局数占比,总局数,日卡顿用户数,卡顿集中时段,数据报表日期
460_01_33043_118100257,81,四川,028,成都,0.0,12,0,18,20180221
460_01_33045_118669089,81,四川,028,成都,0.0,15,0,12,20180221
460_01_33042_118208288,81,四川,028,成都,0.0,8,0,18,20180221
460_01_33042_245644034,81,四川,028,成都,0.0,6,0,13,20180221
460_01_33045_117907743,81,四川,028,成都,0.0,10,0,19,20180221
460_01_33053_118524703,81,四川,028,成都,0.0,24,0,22,20180221
460_01_33046_118212640,81,四川,028,成都,0.2,5,1,12,20180221
460_01_33037_117914913,81,四川,028,成都,0.0,5,0,11,20180221
460_01_33053_118505505,81,四川,028,成都,0.0,26,0,11,20180221
460_01_33043_118103840,81,四川,028,成都,0.0,14,0,15,20180221
460_01_33039_118244897,81,四川,028,成都,0.0,8,0,09,20180221
460_01_33046_117954336,81,四川,028,成都,0.0,21,0,11,20180221
460_01_33030_245605890,81,四川,028,成都,0.0,5,0,23,20180221
460_01_33053_117929759,81,四川,028,成都,0.0,5,0,13,20180221
460_01_33047_117996831,81,四川,028,成都,0.0,20,0,13,20180221
460_01_33035_119302180,81,四川,028,成都,0.0,7,0,19,20180221
460_01_33030_117549856,81,四川,028,成都,0.0,21,0,16,20180221
460_01_33034_117555232,81,四川,028,成都,0.0,6,0,16,20180221
460_01_33029_244524835,81,四川,028,成都,0.0,18,0,16,20180221
460_01_33035_119103776,81,四川,028,成都,0.0,5,0,22,20180221
460_01_33053_245595908,81,四川,028,成都,0.0,5,0,17,20180221
460_01_33051_117930273,81,四川,028,成都,0.0909,11,1,14,20180221
460_01_33049_119067679,81,四川,028,成都,0.0,9,0,17,20180221
460_01_33076_118121503,81,四川,028,成都,0.039,77,2,11,20180221
460_01_33039_118037536,81,四川,028,成都,0.0,7,0,17,20180221
460_01_33045_117712672,81,四川,028,成都,0.0,5,0,23,20180221
460_01_33051_117767221,81,四川,028,成都,0.0,7,0,18,20180221
460_01_33036_117683231,81,四川,028,成都,0.0,8,0,20,20180221
460_01_33032_117606431,81,四川,028,成都,0.0,14,0,14,20180221
460_01_33191_122886177,81,四川,028,成都,0.0,17,0,19,20180221
460_01_33034_118525215,81,四川,028,成都,0.0204,49,1,12,20180221
460_01_33036_117602849,81,四川,028,成都,0.0,20,0,23,20180221
460_01_33028_117522977,81,四川,028,成都,0.0435,23,1,20,20180221
460_01_33032_117471777,81,四川,028,成都,0.0,20,0,18,20180221
460_01_33027_117479938,81,四川,028,成都,0.0,17,0,16,20180221
460_01_33034_119509282,81,四川,028,成都,0.0,32,0,18,20180221
460_01_33191_122943776,81,四川,028,成都,0.0,13,0,11,20180221
460_01_33040_118754847,81,四川,028,成都,0.0,32,0,15,20180221
460_01_33050_222420255,81,四川,028,成都,0.0,13,0,20,20180221
460_01_33046_245666306,81,四川,028,成都,0.0,8,0,17,20180221
460_01_33192_122735903,81,四川,028,成都,0.0,7,0,21,20180221
460_01_33038_118521889,81,四川,028,成都,0.0,33,0,16,20180221
460_01_33047_118561056,81,四川,028,成都,0.0,10,0,13,20180221
460_01_33028_117453343,81,四川,028,成都,0.0,11,0,21,20180221
460_01_33033_244506371,81,四川,028,成都,0.0,10,0,21,20180221
460_01_33071_118925599,81,四川,028,成都,0.0,10,0,13,20180221
460_01_33030_118840578,81,四川,028,成都,0.0,28,0,21,20180221
460_01_33032_119445023,81,四川,028,成都,0.0,6,0,19,20180221
460_01_33026_117543199,81,四川,028,成都,0.0,18,0,14,20180221
460_01_33028_117548320,81,四川,028,成都,0.0625,16,1,21,20180221
460_01_33031_118319135,81,四川,028,成都,0.0435,23,1,15,20180221
460_01_33034_117668897,81,四川,028,成都,0.0204,49,1,16,20180221
460_01_33191_223343392,81,四川,028,成都,0.0,13,0,11,20180221
460_01_33035_117568288,81,四川,028,成都,0.0,7,0,12,20180221
460_01_33192_246318930,81,四川,028,成都,0.0,9,0,10,20180221
460_01_33061_117847584,81,四川,028,成都,0.0,10,0,11,20180221
460_01_33043_118779679,81,四川,028,成都,0.0,8,0,21,20180221
460_01_33045_118083361,81,四川,028,成都,0.0,11,0,19,20180221
460_01_33038_118521121,81,四川,028,成都,0.0,18,0,21,20180221
460_01_33037_118216735,81,四川,028,成都,0.0,6,0,19,20180221
460_01_33040_118429217,81,四川,028,成都,0.0769,13,1,15,20180221
460_01_33038_118593312,81,四川,028,成都,0.0,19,0,16,20180221
460_01_33037_117915680,81,四川,028,成都,0.0556,18,1,23,20180221
460_01_33042_245399853,81,四川,028,成都,0.0,14,0,15,20180221
460_01_33051_222362926,81,四川,028,成都,0.0,8,0,14,20180221
460_01_33063_117855776,81,四川,028,成都,0.2,5,1,16,20180221
460_01_33192_246310483,81,四川,028,成都,0.0,12,0,20,20180221
460_01_33191_122822944,81,四川,028,成都,0.0,7,0,16,20180221
460_01_33036_117681185,81,四川,028,成都,0.0,8,0,20,20180221
460_01_33191_122915104,81,四川,028,成都,0.0,19,0,09,20180221
460_01_33046_245414691,81,四川,028,成都,0.0,193,0,02,20180221
460_01_33034_118554912,81,四川,028,成都,0.0,19,0,23,20180221
460_01_33031_117507359,81,四川,028,成都,0.0,9,0,18,20180221
460_01_33037_118699039,81,四川,028,成都,0.0,14,0,10,20180221
460_01_33076_118679329,81,四川,028,成都,0.0667,15,1,15,20180221
460_01_33045_117804064,81,四川,028,成都,0.0,20,0,23,20180221
460_01_33032_119326495,81,四川,028,成都,0.0833,12,1,16,20180221
460_01_33047_118001951,81,四川,028,成都,0.0,6,0,23,20180221
460_01_33030_117694241,81,四川,028,成都,0.0,59,0,20,20180221
460_01_33192_122714399,81,四川,028,成都,0.0,9,0,23,20180221
460_01_33076_118517791,81,四川,028,成都,0.0,14,0,17,20180221
460_01_33076_118677791,81,四川,028,成都,0.0,20,0,21,20180221
460_01_33042_245393964,81,四川,028,成都,0.0,6,0,23,20180221
460_01_33191_122954273,81,四川,028,成都,0.0,8,0,16,20180221
460_01_33034_117669409,81,四川,028,成都,0.0,6,0,16,20180221
460_01_33191_122922785,81,四川,028,成都,0.1667,6,1,16,20180221
460_01_33035_244443393,81,四川,028,成都,0.0,17,0,16,20180221
460_01_33191_122915103,81,四川,028,成都,0.0,21,0,22,20180221
460_01_33071_118924319,81,四川,028,成都,0.0,11,0,16,20180221
460_01_33048_118283295,81,四川,028,成都,0.0,9,0,20,20180221
460_01_33027_244384513,81,四川,028,成都,0.2,5,1,16,20180221
460_01_33031_244319775,81,四川,028,成都,0.0,7,0,14,20180221
460_01_33031_118588705,81,四川,028,成都,0.0,5,0,22,20180221
460_01_33192_122691616,81,四川,028,成都,0.0,16,0,20,20180221
460_01_33192_122715424,81,四川,028,成都,0.0,73,0,16,20180221
460_01_33042_117790499,81,四川,028,成都,0.1111,18,2,16,20180221
460_01_45698_122992415,81,四川,028,成都,0.0556,18,1,14,20180221
460_01_33038_118147359,81,四川,028,成都,0.0,9,0,17,20180221
460_01_33039_117953568,81,四川,028,成都,0.125,8,1,14,20180221
460_01_33037_118706975,81,四川,028,成都,0.0,6,0,23,20180221
460_01_33045_118028065,81,四川,028,成都,0.0,12,0,20,20180221
460_01_33048_118413087,81,四川,028,成都,0.0,11,0,15,20180221
460_01_33034_117508353,81,四川,028,成都,0.0,30,0,21,20180221
460_01_33031_244553729,81,四川,028,成都,0.0,23,0,21,20180221
460_01_33028_117491743,81,四川,028,成都,0.0,22,0,14,20180221
460_01_33191_122892833,81,四川,028,成都,0.0,8,0,22,20180221
460_01_33027_117511457,81,四川,028,成都,0.0,17,0,23,20180221
460_01_33035_119391776,81,四川,028,成都,0.0,7,0,23,20180221
460_01_33191_122843681,81,四川,028,成都,0.0526,19,1,20,20180221
460_01_33034_117463073,81,四川,028,成都,0.0,15,0,21,20180221
460_01_33034_118784801,81,四川,028,成都,0.0,27,0,19,20180221
460_01_33028_117606688,81,四川,028,成都,0.0,8,0,23,20180221
460_01_33035_117470241,81,四川,028,成都,0.0,8,0,17,20180221
460_01_33046_118107425,81,四川,028,成都,0.05,20,1,13,20180221
460_01_33037_118617633,81,四川,028,成都,0.0,8,0,20,20180221
460_01_33044_118855721,81,四川,028,成都,0.0,6,0,21,20180221
460_01_33029_117465889,81,四川,028,成都,0.0,32,0,13,20180221
460_01_33063_118523425,81,四川,028,成都,0.0,61,0,10,20180221
460_01_33040_118054432,81,四川,028,成都,0.0,7,0,04,20180221
460_01_33039_245489925,81,四川,028,成都,0.0,5,0,15,20180221
460_01_33037_118268448,81,四川,028,成都,0.0,6,0,00,20180221
460_01_33191_122946849,81,四川,028,成都,0.0,7,0,22,20180221
460_01_33034_117705503,81,四川,028,成都,0.0333,90,2,16,20180221
460_01_33191_122934305,81,四川,028,成都,0.0,12,0,23,20180221
460_01_33029_117449507,81,四川,028,成都,0.0,10,0,22,20180221
460_01_33028_119071009,81,四川,028,成都,0.0,5,0,22,20180221
460_01_33053_222393386,81,四川,028,成都,0.0,13,0,16,20180221
460_01_33076_118359072,81,四川,028,成都,0.0,6,0,15,20180221
460_01_33062_117845023,81,四川,028,成都,0.0,7,0,22,20180221
460_01_33192_122689311,81,四川,028,成都,0.0,55,0,18,20180221
460_01_33026_117548577,81,四川,028,成都,0.0,28,0,22,20180221
460_01_33034_117658913,81,四川,028,成都,0.08,25,2,22,20180221
460_01_33032_119294243,81,四川,028,成都,0.0,7,0,17,20180221
460_01_33041_117467936,81,四川,028,成都,0.0,29,0,19,20180221
460_01_33030_119490847,81,四川,028,成都,0.0417,24,1,12,20180221
460_01_33191_223333153,81,四川,028,成都,0.0,12,0,23,20180221
460_01_33045_118876458,81,四川,028,成都,0.0,10,0,10,20180221
460_01_33044_117781540,81,四川,028,成都,0.0769,13,1,21,20180221
460_01_33043_118510111,81,四川,028,成都,0.0,18,0,16,20180221
460_01_33048_118200353,81,四川,028,成都,0.0,8,0,16,20180221
460_01_33046_118852129,81,四川,028,成都,0.0,9,0,16,20180221
460_01_33037_117860895,81,四川,028,成都,0.0,9,0,13,20180221
460_01_33053_245545218,81,四川,028,成都,0.0,7,0,23,20180221
460_01_33031_119034685,81,四川,028,成都,0.0,7,0,16,20180221
460_01_33037_119063839,81,四川,028,成都,0.0,11,0,22,20180221
460_01_33044_118284831,81,四川,028,成都,0.0,6,0,20,20180221
460_01_33037_117836832,81,四川,028,成都,0.0,9,0,22,20180221
460_01_33052_118350593,81,四川,028,成都,0.0,8,0,23,20180221
460_01_33045_118941217,81,四川,028,成都,0.0,5,0,16,20180221
460_01_33191_122927393,81,四川,028,成都,0.0,9,0,19,20180221
460_01_33028_119068703,81,四川,028,成都,0.0,23,0,19,20180221
460_01_33034_118161441,81,四川,028,成都,0.0,6,0,17,20180221
460_01_33034_117483807,81,四川,028,成都,0.1667,6,1,15,20180221
460_01_33027_118624033,81,四川,028,成都,0.0,5,0,17,20180221
460_01_33047_118405407,81,四川,028,成都,0.0,83,0,13,20180221
460_01_33031_244573985,81,四川,028,成都,0.0,42,0,22,20180221
460_01_33028_117512225,81,四川,028,成都,0.0,45,0,22,20180221
460_01_33036_244447520,81,四川,028,成都,0.0,6,0,23,20180221
460_01_33034_118865443,81,四川,028,成都,0.0,8,0,21,20180221
460_01_33036_117605151,81,四川,028,成都,0.025,40,1,21,20180221
460_01_33042_118204931,81,四川,028,成都,0.0,11,0,11,20180221
460_01_33036_244586753,81,四川,028,成都,0.0909,11,1,11,20180221
460_01_33191_122893345,81,四川,028,成都,0.0,28,0,11,20180221
460_01_33192_122787361,81,四川,028,成都,0.0,37,0,12,20180221
460_01_33043_118735905,81,四川,028,成都,0.0,12,0,21,20180221
460_01_33041_117831967,81,四川,028,成都,0.0,19,0,09,20180221
460_01_33037_118237983,81,四川,028,成都,0.0,10,0,18,20180221
460_01_33036_244407584,81,四川,028,成都,0.0,11,0,22,20180221
460_01_33191_223333921,81,四川,028,成都,0.0,23,0,16,20180221
460_01_33047_118574111,81,四川,028,成都,0.0,13,0,13,20180221
460_01_33192_122773280,81,四川,028,成都,0.0,10,0,23,20180221
460_01_33037_117860129,81,四川,028,成都,0.0,9,0,21,20180221
460_01_33034_118581535,81,四川,028,成都,0.0,9,0,22,20180221
460_01_33046_118262304,81,四川,028,成都,0.0,5,0,14,20180221
460_01_33045_245573891,81,四川,028,成都,0.0,22,0,21,20180221
460_01_33037_117913888,81,四川,028,成都,0.0,11,0,21,20180221
460_01_33040_117899807,81,四川,028,成都,0.0,10,0,20,20180221
460_01_33063_118461472,81,四川,028,成都,0.0638,47,2,10,20180221
460_01_33048_118412833,81,四川,028,成都,0.0,28,0,16,20180221
460_01_33041_245650433,81,四川,028,成都,0.0,13,0,23,20180221
460_01_33192_122687776,81,四川,028,成都,0.0,26,0,23,20180221
460_01_33191_122828319,81,四川,028,成都,0.0,10,0,23,20180221
460_01_33191_122890272,81,四川,028,成都,0.0,10,0,22,20180221
460_01_33039_117963552,81,四川,028,成都,0.0,12,0,09,20180221
460_01_33039_117940256,81,四川,028,成都,0.0,8,0,22,20180221
460_01_33048_118201888,81,四川,028,成都,0.0588,17,1,20,20180221
460_01_33035_244424223,81,四川,028,成都,0.0,8,0,23,20180221
460_01_33192_122736929,81,四川,028,成都,0.0,36,0,20,20180221
460_01_33192_246312019,81,四川,028,成都,0.0,16,0,10,20180221
460_01_33033_119327008,81,四川,028,成都,0.0,8,0,22,20180221
460_01_33042_118204961,81,四川,028,成都,0.0,45,0,12,20180221
460_01_33046_118999357,81,四川,028,成都,0.0119,84,1,16,20180221
460_01_33045_245405998,81,四川,028,成都,0.0,9,0,23,20180221
460_01_33051_222317089,81,四川,028,成都,0.0,5,0,15,20180221
460_01_33066_118167840,81,四川,028,成都,0.0,5,0,11,20180221
460_01_33046_245414698,81,四川,028,成都,0.0,121,0,11,20180221
460_01_33039_244551200,81,四川,028,成都,0.0,5,0,20,20180221
460_01_33036_117701409,81,四川,028,成都,0.0,26,0,23,20180221
